question,answer
What programs are offered at the university?,The university offers undergraduate and postgraduate programs in engineering business computer science and social sciences.
What is the admission deadline?,The admission deadline is 15 August 2026.
How can I apply for admission?,You can apply online through the university admission portal.
Is there an application fee?,Yes the application fee is 2500 PKR.
What documents are required for admission?,You need CNIC copies academic certificates photographs and domicile.
Can I apply online?,Yes online applications are accepted through the official website.
What is the eligibility criteria for engineering programs?,Students must have completed intermediate with pre engineering and meet the minimum percentage requirement.
Are entry tests mandatory?,Yes entry tests are mandatory for most programs.
When will the entry test be conducted?,The entry test will be conducted in September 2026.
How can I download my admit card?,You can download the admit card from the admission portal.
What is the minimum percentage required for admission?,The minimum required percentage is 60 percent.
Are scholarships available for students?,Yes merit based and need based scholarships are available.
Can overseas students apply?,Yes overseas students are encouraged to apply.
What is the fee structure for undergraduate programs?,The fee structure varies according to the selected program.
Where can I check the merit list?,Merit lists are uploaded on the university website.
How many merit lists are announced?,Usually three merit lists are announced.
What should I do after selection?,Selected students must submit fees and documents before the deadline.
Can I change my program after admission?,Program transfer depends on seat availability and university policy.
What is the duration of undergraduate programs?,Most undergraduate programs are four years long.
Does the university offer hostel facilities?,Yes hostel facilities are available for male and female students.
How can I apply for hostel accommodation?,You can apply for hostel accommodation through the student affairs office.
Is transport service available?,Yes transport service is available in selected areas.
What are the office timings for admission department?,The admission office operates from 9 AM to 4 PM Monday to Friday.
Can diploma holders apply for admission?,Yes diploma holders can apply for selected programs.
What is the age limit for admission?,There is no strict age limit for most programs.
Can I apply for more than one program?,Yes you can apply for multiple programs by paying additional fees.
What happens if I miss the admission deadline?,Late applications are usually not accepted.
Are evening programs available?,Yes evening programs are offered in selected departments.
How can I contact the admission office?,You can contact the admission office through email phone or official website.
What is the university ranking?,The university is ranked among the top universities in Pakistan.
Is financial aid available?,Yes financial aid is available for deserving students.
What are the payment methods for admission fees?,Fees can be paid through bank challan online banking or mobile banking.
Can I submit documents after the deadline?,Late document submission is generally not allowed.
What subjects are included in the entry test?,The entry test includes mathematics English analytical reasoning and subject related questions.
How can I prepare for the entry test?,You can prepare using past papers and sample test materials available online.
Does the university accept SAT scores?,Yes SAT scores are accepted for selected programs.
What is the admission process for international students?,International students must submit equivalent certificates passport copies and visa documents.
Can I get admission without an entry test?,Some programs may offer admission based on previous academic performance.
How will I know if I am selected?,Selected candidates are informed through the website and email notifications.
Can I defer my admission?,Yes admission deferment is allowed under certain conditions.
What is the semester system?,The university follows a semester based academic system.
How many semesters are there in a year?,There are usually two regular semesters in a year.
What is the credit hour system?,Courses are assigned credit hours based on lecture and lab duration.
Can students work part time while studying?,Yes students may work part time depending on their schedule.
Are extracurricular activities available?,Yes the university offers sports societies and student clubs.
What facilities are available on campus?,The campus includes libraries labs cafeterias mosques and sports grounds.
Is WiFi available on campus?,Yes free WiFi is available for students on campus.
What is the grading system?,The university follows a GPA based grading system.
Can students apply for internships through the university?,Yes the university career center helps students find internships.
Are short courses offered by the university?,Yes professional development and certification courses are offered.
How can I access the student portal?,Students can log in to the student portal using their registration credentials.
What should I do if I forget my portal password?,You can reset your password using the forgot password option on the portal.
Can students participate in research projects?,Yes students can participate in faculty supervised research projects.
Does the university have a library?,Yes the university has a central library with digital and printed resources.
